case,emirate,education_type,gender,nationality,curriculum,students,schools,teachers,ptr,pf_rows,score_rows,nat_rows,avg_score
education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male,,Private Schools Non MOE Curriculum in the four northern emirates,Male,,,60769,72,6282,9.6735,0,0,0,
education_type=Public,,Public,,,,265962,503,20646,12.882,0,0,0,
education_type=Public | gender=Female,,Public,Female,,,138225,503,20646,6.695,0,0,0,
education_type=Public | gender=Male,,Public,Male,,,127737,503,20646,6.187,0,0,0,
education_type=Public Ajyal,,Public Ajyal,,,,11008,18,811,13.5734,0,0,0,
education_type=Public Ajyal | gender=Female,,Public Ajyal,Female,,,5533,18,811,6.8224,0,0,0,
education_type=Public Ajyal | gender=Male,,Public Ajyal,Male,,,5475,18,811,6.7509,0,0,0,
curriculum=American,,,,,American,247648,14,15117,16.3821,0,0,0,
gender=Female | curriculum=American,,,Female,,American,119676,14,15117,7.9167,0,0,0,
gender=Male | curriculum=American,,,Male,,American,127972,14,15117,8.4654,0,0,0,
curriculum=ATHS,,,,,ATHS,461536,20,31065,14.8571,0,0,0,
gender=Female | curriculum=ATHS,,,Female,,ATHS,228722,20,31065,7.3627,0,0,0,
gender=Male | curriculum=ATHS,,,Male,,ATHS,232814,20,31065,7.4944,0,0,0,
curriculum=Bangladeshi,,,,,Bangladeshi,72137,1,4623,15.6039,0,0,0,
gender=Female | curriculum=Bangladeshi,,,Female,,Bangladeshi,34786,1,4623,7.5246,0,0,0,
gender=Male | curriculum=Bangladeshi,,,Male,,Bangladeshi,37351,1,4623,8.0794,0,0,0,
curriculum=G.C.S.E,,,,,G.C.S.E,231338,20,13938,16.5976,0,0,0,
gender=Female | curriculum=G.C.S.E,,,Female,,G.C.S.E,111403,20,13938,7.9928,0,0,0,
gender=Male | curriculum=G.C.S.E,,,Male,,G.C.S.E,119935,20,13938,8.6049,0,0,0,
curriculum=I.B.,,,,,I.B.,182133,2,11155,16.3275,0,0,0,
gender=Female | curriculum=I.B.,,,Female,,I.B.,87731,2,11155,7.8647,0,0,0,
gender=Male | curriculum=I.B.,,,Male,,I.B.,94402,2,11155,8.4628,0,0,0,
curriculum=Indian,,,,,Indian,247648,28,15117,16.3821,0,0,0,
gender=Female | curriculum=Indian,,,Female,,Indian,119676,28,15117,7.9167,0,0,0,
gender=Male | curriculum=Indian,,,Male,,Indian,127972,28,15117,8.4654,0,0,0,
curriculum=Ministry of Education Curriculum,,,,,Ministry of Education Curriculum,559743,536,39597,14.136,0,0,0,
gender=Female | curriculum=Ministry of Education Curriculum,,,Female,,Ministry of Education Curriculum,278570,536,39597,7.0351,0,0,0,
gender=Male | curriculum=Ministry of Education Curriculum,,,Male,,Ministry of Education Curriculum,281173,536,39597,7.1009,0,0,0,
curriculum=Pakistani,,,,,Pakistani,231338,4,13938,16.5976,0,0,0,
